log_ts,utc,lat,lon,hdop,altitude,fix,cog,spkm,spkn,date,nsat,gps_timestamp,log_timestamp,latitude,longitude,speed_kmh,speed_mph,dist_m,dist_from_prev_km,Not Squelched
20250508-01:34:37,013439.000,37.58907,-122.08380,1.1,1.9,3,300.10,0.6,0.3,080525,11,2025-05-08 01:34:39.000,2025-05-08 01:34:37,37.58907,-122.0838,0.6,0.3728226,2.7011815781258552,0.0,False
20250508-01:34:38,013440.000,37.58907,-122.08380,1.1,0.6,3,300.10,0.0,0.0,080525,11,2025-05-08 01:34:40.000,2025-05-08 01:34:38,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:39,013441.000,37.58907,-122.08380,1.1,0.0,3,300.10,0.6,0.3,080525,11,2025-05-08 01:34:41.000,2025-05-08 01:34:39,37.58907,-122.0838,0.6,0.3728226,2.7011815781258552,0.0,False
20250508-01:34:40,013442.000,37.58907,-122.08380,1.1,0.7,3,300.10,0.0,0.0,080525,11,2025-05-08 01:34:42.000,2025-05-08 01:34:40,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:41,013443.000,37.58907,-122.08380,1.1,3.7,3,300.10,0.0,0.0,080525,11,2025-05-08 01:34:43.000,2025-05-08 01:34:41,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:42,013444.000,37.58907,-122.08380,1.1,4.4,3,300.10,0.6,0.3,080525,11,2025-05-08 01:34:44.000,2025-05-08 01:34:42,37.58907,-122.0838,0.6,0.3728226,2.7011815781258552,0.0,False
20250508-01:34:43,013445.000,37.58907,-122.08380,0.9,5.4,3,299.30,0.8,0.4,080525,12,2025-05-08 01:34:45.000,2025-05-08 01:34:43,37.58907,-122.0838,0.8,0.4970968,2.7011815781258552,0.0,False
20250508-01:34:44,013446.000,37.58907,-122.08381,0.9,5.2,3,299.30,0.0,0.0,080525,12,2025-05-08 01:34:46.000,2025-05-08 01:34:44,37.58907,-122.08381,0.0,0.0,3.176679411135888,0.0008811152949660111,False
20250508-01:34:45,013447.000,37.58907,-122.08380,0.9,4.0,3,299.30,0.0,0.0,080525,12,2025-05-08 01:34:47.000,2025-05-08 01:34:45,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0008811152949660111,False
20250508-01:34:46,013448.000,37.58907,-122.08380,0.9,2.1,3,299.30,0.0,0.0,080525,12,2025-05-08 01:34:48.000,2025-05-08 01:34:46,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:47,013449.000,37.58907,-122.08380,1.1,1.0,3,299.30,0.0,0.0,080525,11,2025-05-08 01:34:49.000,2025-05-08 01:34:47,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:48,013450.000,37.58907,-122.08380,0.9,1.2,3,299.30,0.0,0.0,080525,12,2025-05-08 01:34:50.000,2025-05-08 01:34:48,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:49,013451.000,37.58907,-122.08380,0.9,0.8,3,299.30,0.0,0.0,080525,12,2025-05-08 01:34:51.000,2025-05-08 01:34:49,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:50,013452.000,37.58907,-122.08380,0.9,0.2,3,299.30,0.0,0.0,080525,12,2025-05-08 01:34:52.000,2025-05-08 01:34:50,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:51,013453.000,37.58907,-122.08380,0.9,1.2,3,299.30,0.0,0.0,080525,12,2025-05-08 01:34:53.000,2025-05-08 01:34:51,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:52,013454.000,37.58907,-122.08380,0.9,4.3,3,299.30,0.0,0.0,080525,12,2025-05-08 01:34:54.000,2025-05-08 01:34:52,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:53,013455.000,37.58907,-122.08380,1.1,4.0,3,299.30,0.3,0.2,080525,11,2025-05-08 01:34:55.000,2025-05-08 01:34:53,37.58907,-122.0838,0.3,0.1864113,2.7011815781258552,0.0,False
20250508-01:34:54,013456.000,37.58907,-122.08381,0.9,4.3,3,299.30,0.3,0.2,080525,12,2025-05-08 01:34:56.000,2025-05-08 01:34:54,37.58907,-122.08381,0.3,0.1864113,3.176679411135888,0.0008811152949660111,False
20250508-01:34:55,013457.000,37.58907,-122.08381,0.9,7.0,3,299.30,0.0,0.0,080525,12,2025-05-08 01:34:57.000,2025-05-08 01:34:55,37.58907,-122.08381,0.0,0.0,3.176679411135888,0.0,False
20250508-01:34:56,013458.000,37.58907,-122.08381,1.1,8.8,3,299.30,0.0,0.0,080525,11,2025-05-08 01:34:58.000,2025-05-08 01:34:56,37.58907,-122.08381,0.0,0.0,3.176679411135888,0.0,False
20250508-01:34:57,013459.000,37.58907,-122.08380,0.9,5.5,3,299.30,0.4,0.2,080525,12,2025-05-08 01:34:59.000,2025-05-08 01:34:57,37.58907,-122.0838,0.4,0.2485484,2.7011815781258552,0.0008811152949660111,False
20250508-01:34:58,013500.000,37.58907,-122.08380,1.1,3.6,3,299.30,0.0,0.0,080525,11,2025-05-08 01:35:00.000,2025-05-08 01:34:58,37.58907,-122.0838,0.0,0.0,2.7011815781258552,0.0,False
20250508-01:34:59,013501.000,37.58908,-122.08380,0.9,0.5,3,299.30,0.4,0.2,080525,12,2025-05-08 01:35:01.000,2025-05-08 01:34:59,37.58908,-122.0838,0.4,0.2485484,1.7585550204421434,0.0011119492665983,False
20250508-01:35:00,013502.000,37.58908,-122.08380,1.1,0.0,3,299.30,0.5,0.2,080525,11,2025-05-08 01:35:02.000,2025-05-08 01:35:00,37.58908,-122.0838,0.5,0.3106855,1.7585550204421434,0.0,False
20250508-01:35:01,013503.000,37.58908,-122.08380,1.1,0.8,3,299.30,0.5,0.3,080525,11,2025-05-08 01:35:03.000,2025-05-08 01:35:01,37.58908,-122.0838,0.5,0.3106855,1.7585550204421434,0.0,False
20250508-01:35:02,013504.000,37.58908,-122.08379,1.1,2.2,3,299.30,0.0,0.0,080525,11,2025-05-08 01:35:04.000,2025-05-08 01:35:02,37.58908,-122.08379,0.0,0.0,1.3602696900212103,0.0008811151788253355,False
20250508-01:35:03,013505.000,37.58908,-122.08380,1.1,3.4,3,299.30,0.0,0.0,080525,11,2025-05-08 01:35:05.000,2025-05-08 01:35:03,37.58908,-122.0838,0.0,0.0,1.7585550204421434,0.0008811151788253355,False
20250508-01:35:04,013506.000,37.58909,-122.08380,1.1,5.2,3,299.30,0.5,0.3,080525,11,2025-05-08 01:35:06.000,2025-05-08 01:35:04,37.58909,-122.0838,0.5,0.3106855,1.1668384400291318,0.0011119492658909769,False
20250508-01:35:05,013507.000,37.58908,-122.08380,1.1,6.1,3,299.30,0.5,0.3,080525,11,2025-05-08 01:35:07.000,2025-05-08 01:35:05,37.58908,-122.0838,0.5,0.3106855,1.7585550204421434,0.0011119492658909769,False
20250508-01:35:06,013508.000,37.58908,-122.08380,0.9,5.0,3,299.30,0.0,0.0,080525,12,2025-05-08 01:35:08.000,2025-05-08 01:35:06,37.58908,-122.0838,0.0,0.0,1.7585550204421434,0.0,False
20250508-01:35:07,013509.000,37.58908,-122.08380,0.9,4.0,3,299.30,0.0,0.0,080525,12,2025-05-08 01:35:09.000,2025-05-08 01:35:07,37.58908,-122.0838,0.0,0.0,1.7585550204421434,0.0,False
20250508-01:35:08,013510.000,37.58908,-122.08380,0.9,2.6,3,299.30,0.5,0.3,080525,12,2025-05-08 01:35:10.000,2025-05-08 01:35:08,37.58908,-122.0838,0.5,0.3106855,1.7585550204421434,0.0,False
20250508-01:35:09,013511.000,37.58908,-122.08380,0.9,1.1,3,299.30,0.5,0.3,080525,12,2025-05-08 01:35:11.000,2025-05-08 01:35:09,37.58908,-122.0838,0.5,0.3106855,1.7585550204421434,0.0,False
20250508-01:35:10,013512.000,37.58908,-122.08379,1.1,0.1,3,299.30,0.0,0.0,080525,11,2025-05-08 01:35:12.000,2025-05-08 01:35:10,37.58908,-122.08379,0.0,0.0,1.3602696900212103,0.0008811151788253355,False
20250508-01:35:11,013513.000,37.58908,-122.08379,0.9,0.2,3,299.30,0.0,0.0,080525,12,2025-05-08 01:35:13.000,2025-05-08 01:35:11,37.58908,-122.08379,0.0,0.0,1.3602696900212103,0.0,False
20250508-01:35:12,013514.000,37.58908,-122.08379,1.1,0.0,3,299.30,0.5,0.3,080525,11,2025-05-08 01:35:14.000,2025-05-08 01:35:12,37.58908,-122.08379,0.5,0.3106855,1.3602696900212103,0.0,False
20250508-01:35:13,013515.000,37.58908,-122.08379,1.1,1.5,3,299.30,0.0,0.0,080525,11,2025-05-08 01:35:15.000,2025-05-08 01:35:13,37.58908,-122.08379,0.0,0.0,1.3602696900212103,0.0,False
20250508-01:35:14,013516.000,37.58908,-122.08379,1.1,2.8,3,299.30,0.5,0.3,080525,11,2025-05-08 01:35:16.000,2025-05-08 01:35:14,37.58908,-122.08379,0.5,0.3106855,1.3602696900212103,0.0,False
20250508-01:35:15,013517.000,37.58908,-122.08378,1.1,0.0,3,299.30,0.5,0.3,080525,10,2025-05-08 01:35:17.000,2025-05-08 01:35:15,37.58908,-122.08378,0.5,0.3106855,1.4699929125219486,0.0008811151765833875,False
20250508-01:35:16,013518.000,37.58908,-122.08378,1.1,0.0,3,299.30,0.0,0.0,080525,11,2025-05-08 01:35:18.000,2025-05-08 01:35:16,37.58908,-122.08378,0.0,0.0,1.4699929125219486,0.0,False
